Year	1	2	3	4	5	6
1963	446529	180484	20288	10373	8278	5804
1964	727964	125464	52141	11555	5257	7505
1965	985009	214875	40464	22970	6209	5808
1966	1193302	264645	67817	16357	9345	6377
1967	1012126	322778	72880	28447	7953	8191
1968	500385	279617	90064	28690	14272	6980
1969	435718	132267	72765	34112	11401	10114
1970	1479665	123107	39001	32378	15391	8546
1971	1956201	403257	33559	14920	15962	10418
1972	479664	507918	90500	12043	5910	12251
1973	698722	114146	106004	29796	4930	6847
1974	689808	170487	23734	36375	10912	5452
1975	1197898	163510	36861	9646	16298	6870
1976	820106	288393	33920	13562	3771	9336
1977	2002052	174274	51226	10714	5053	5757
1978	1177574	457184	30885	18608	5573	4194
1979	1478518	263506	81472	8887	7266	3274
1980	2370072	312464	59406	24556	3949	4293
1981	931094	497921	59579	17610	8671	3259
1982	1459702	191346	93973	17070	6539	4939
1983	831936	308201	34119	21284	5479	3908
1984	1526121	178040	52373	8149	6749	3386
1985	376392	330357	33551	14909	2816	3761
1986	1825626	87368	57597	10405	5570	2570
1987	701797	420715	16490	15338	3033	2901
1988	471493	161989	72250	5378	4877	1987
1989	846975	108077	31153	16991	1828	2492
1990	340447	193230	20302	7805	4946	1366
1991	398707	81787	31014	5904	2605	2485
1992	957698	98286	15861	8627	1984	1686
1993	436538	222505	19216	5262	2848	1313
1994	1078364	108545	36377	5388	1663	1360
1995	687763	255870	22879	9517	1681	994
1996	469770	168386	42290	6044	3404	1174
1997	1542688	130570	32001	11202	2183	1566
1998	144395	415464	27880	8802	3750	1179
1999	312967	38327	63484	6010	2218	1317
2000	452949	79405	8942	10285	1503	800
2001	183390	125746	13225	1981	1928	479
2002	265362	51186	27530	4189	639	764
2003	120876	64278	9028	5832	891	326
2004	241790	37547	14360	2930	1921	437
2005	192080	62102	8746	3586	1030	869
2006	423208	53151	13430	2203	1092	726
2007	190907	112919	10988	4182	971	645
2008	214364	48978	25562	3266	1608	793
2009	240060	56682	12052	7995	1410	930
2010	302150	67827	14327	4127	3349	934
2011	143866	89265	17161	5011	1934	2229
2012	222046	42719	25541	7068	2133	1920
2013	251482	60921	13820	10298	3231	1818
2014	313474	74510	19248	5878	4570	2201
2015	147284	99594	24106	7315	2474	3523
2016	102928	43049	30169	11286	3304	2470
2017	313264	30118	14071	11643	5151	2480
2018	67402	79236	10161	5521	4288	3490
